variant,family,condition,successes,n,rate,status,missing_episodes
perceptual-tokendrop-modul,VideoPlaceOrder,k3,18,50,0.36,complete,
perceptual-tokendrop-modul,VideoPlaceOrder,k7,13,50,0.26,complete,
perceptual-tokendrop-modul,InsertPeg,no-history,0,50,0.0,complete,
perceptual-tokendrop-modul,InsertPeg,k0,4,50,0.08,complete,
perceptual-tokendrop-modul,InsertPeg,k1,3,50,0.06,complete,
perceptual-tokendrop-modul,InsertPeg,k3,1,50,0.02,complete,
perceptual-tokendrop-modul,InsertPeg,k7,1,50,0.02,complete,
perceptual-tokendrop-modul,PatternLock,no-history,0,50,0.0,complete,
perceptual-tokendrop-modul,PatternLock,k0,15,50,0.3,complete,
perceptual-tokendrop-modul,PatternLock,k1,12,50,0.24,complete,
perceptual-tokendrop-modul,PatternLock,k3,7,50,0.14,complete,
perceptual-tokendrop-modul,PatternLock,k7,6,50,0.12,complete,
recurrent-ttt-expert,MoveCube,no-history,17,50,0.34,complete,
recurrent-ttt-expert,MoveCube,k0,23,50,0.46,complete,
recurrent-ttt-expert,MoveCube,k1,16,50,0.32,complete,
recurrent-ttt-expert,MoveCube,k3,18,50,0.36,complete,
recurrent-ttt-expert,MoveCube,k7,16,50,0.32,complete,
recurrent-ttt-expert,RouteStick,no-history,0,50,0.0,complete,
recurrent-ttt-expert,RouteStick,k0,0,50,0.0,complete,
recurrent-ttt-expert,RouteStick,k1,3,50,0.06,complete,
recurrent-ttt-expert,RouteStick,k3,4,50,0.08,complete,
recurrent-ttt-expert,RouteStick,k7,0,50,0.0,complete,
recurrent-ttt-expert,VideoUnmask,no-history,19,50,0.38,complete,
recurrent-ttt-expert,VideoUnmask,k0,17,50,0.34,complete,
recurrent-ttt-expert,VideoUnmask,k1,17,50,0.34,complete,
recurrent-ttt-expert,VideoUnmask,k3,15,50,0.3,complete,
recurrent-ttt-expert,VideoUnmask,k7,15,50,0.3,complete,
recurrent-ttt-expert,VideoUnmaskSwap,no-history,11,50,0.22,complete,
recurrent-ttt-expert,VideoUnmaskSwap,k0,8,50,0.16,complete,
recurrent-ttt-expert,VideoUnmaskSwap,k1,9,50,0.18,complete,
recurrent-ttt-expert,VideoUnmaskSwap,k3,12,50,0.24,complete,
recurrent-ttt-expert,VideoUnmaskSwap,k7,9,50,0.18,complete,
recurrent-ttt-expert,VideoRepick,no-history,2,50,0.04,complete,
recurrent-ttt-expert,VideoRepick,k0,2,50,0.04,complete,
recurrent-ttt-expert,VideoRepick,k1,3,50,0.06,complete,
recurrent-ttt-expert,VideoRepick,k3,2,50,0.04,complete,
recurrent-ttt-expert,VideoRepick,k7,4,50,0.08,complete,
recurrent-ttt-expert,VideoPlaceButton,no-history,10,50,0.2,complete,
recurrent-ttt-expert,VideoPlaceButton,k0,15,50,0.3,complete,
recurrent-ttt-expert,VideoPlaceButton,k1,13,50,0.26,complete,
recurrent-ttt-expert,VideoPlaceButton,k3,13,50,0.26,complete,
recurrent-ttt-expert,VideoPlaceButton,k7,10,50,0.2,complete,
recurrent-ttt-expert,VideoPlaceOrder,no-history,11,50,0.22,complete,
recurrent-ttt-expert,VideoPlaceOrder,k0,10,50,0.2,complete,
recurrent-ttt-expert,VideoPlaceOrder,k1,10,50,0.2,complete,
recurrent-ttt-expert,VideoPlaceOrder,k3,7,50,0.14,complete,
recurrent-ttt-expert,VideoPlaceOrder,k7,11,50,0.22,complete,
recurrent-ttt-expert,InsertPeg,no-history,1,50,0.02,complete,
recurrent-ttt-expert,InsertPeg,k0,2,50,0.04,complete,
recurrent-ttt-expert,InsertPeg,k1,2,50,0.04,complete,
recurrent-ttt-expert,InsertPeg,k3,0,50,0.0,complete,
recurrent-ttt-expert,InsertPeg,k7,1,50,0.02,complete,
recurrent-ttt-expert,PatternLock,no-history,1,50,0.02,complete,
recurrent-ttt-expert,PatternLock,k0,4,50,0.08,complete,
recurrent-ttt-expert,PatternLock,k1,1,50,0.02,complete,
recurrent-ttt-expert,PatternLock,k3,2,50,0.04,complete,
recurrent-ttt-expert,PatternLock,k7,4,50,0.08,complete,
