family,variant,condition,successes,n,rate,status
VideoUnmask,recurrent-ttt-expert,k1,17,50,0.34,complete
VideoUnmask,recurrent-ttt-expert,k3,15,50,0.3,complete
VideoUnmask,recurrent-ttt-expert,k7,15,50,0.3,complete
VideoUnmask,perceptual-framesamp-context,no-history,11,50,0.22,complete
VideoUnmask,perceptual-framesamp-context,k0,16,50,0.32,complete
VideoUnmask,perceptual-framesamp-context,k1,12,50,0.24,complete
VideoUnmask,perceptual-framesamp-context,k3,13,50,0.26,complete
VideoUnmask,perceptual-framesamp-context,k7,14,50,0.28,complete
VideoUnmask,perceptual-framesamp-expert,no-history,13,50,0.26,complete
VideoUnmask,perceptual-framesamp-expert,k0,15,50,0.3,complete
VideoUnmask,perceptual-framesamp-expert,k1,17,50,0.34,complete
VideoUnmask,perceptual-framesamp-expert,k3,14,50,0.28,complete
VideoUnmask,perceptual-framesamp-expert,k7,18,50,0.36,complete
VideoUnmask,perceptual-tokendrop-context,no-history,18,50,0.36,complete
VideoUnmask,perceptual-tokendrop-context,k0,18,50,0.36,complete
VideoUnmask,perceptual-tokendrop-context,k1,17,50,0.34,complete
VideoUnmask,perceptual-tokendrop-context,k3,15,50,0.3,complete
VideoUnmask,perceptual-tokendrop-context,k7,15,50,0.3,complete
VideoUnmask,perceptual-tokendrop-expert,no-history,14,50,0.28,complete
VideoUnmask,perceptual-tokendrop-expert,k0,13,50,0.26,complete
VideoUnmask,perceptual-tokendrop-expert,k1,12,50,0.24,complete
VideoUnmask,perceptual-tokendrop-expert,k3,10,50,0.2,complete
VideoUnmask,perceptual-tokendrop-expert,k7,9,50,0.18,complete
VideoUnmask,recurrent-ttt-context,no-history,15,50,0.3,complete
VideoUnmask,recurrent-ttt-context,k0,16,50,0.32,complete
VideoUnmask,recurrent-ttt-context,k1,15,50,0.3,complete
VideoUnmask,recurrent-ttt-context,k3,15,50,0.3,complete
VideoUnmask,recurrent-ttt-context,k7,15,50,0.3,complete
VideoUnmaskSwap,pi05_baseline,no-history,10,50,0.2,complete
VideoUnmaskSwap,perceptual-framesamp-modul,no-history,16,50,0.32,complete
VideoUnmaskSwap,perceptual-framesamp-modul,k0,13,50,0.26,complete
VideoUnmaskSwap,perceptual-framesamp-modul,k1,10,50,0.2,complete
VideoUnmaskSwap,perceptual-framesamp-modul,k3,13,50,0.26,complete
VideoUnmaskSwap,perceptual-framesamp-modul,k7,13,50,0.26,complete
VideoUnmaskSwap,perceptual-tokendrop-modul,no-history,14,50,0.28,complete
VideoUnmaskSwap,perceptual-tokendrop-modul,k0,16,50,0.32,complete
VideoUnmaskSwap,perceptual-tokendrop-modul,k1,15,50,0.3,complete
VideoUnmaskSwap,perceptual-tokendrop-modul,k3,14,50,0.28,complete
VideoUnmaskSwap,perceptual-tokendrop-modul,k7,15,50,0.3,complete
VideoUnmaskSwap,recurrent-ttt-expert,no-history,11,50,0.22,complete
VideoUnmaskSwap,recurrent-ttt-expert,k0,8,50,0.16,complete
VideoUnmaskSwap,recurrent-ttt-expert,k1,9,50,0.18,complete
VideoUnmaskSwap,recurrent-ttt-expert,k3,12,50,0.24,complete
VideoUnmaskSwap,recurrent-ttt-expert,k7,9,50,0.18,complete
VideoUnmaskSwap,perceptual-framesamp-context,no-history,12,50,0.24,complete
VideoUnmaskSwap,perceptual-framesamp-context,k0,12,50,0.24,complete
VideoUnmaskSwap,perceptual-framesamp-context,k1,10,50,0.2,complete
VideoUnmaskSwap,perceptual-framesamp-context,k3,12,50,0.24,complete
VideoUnmaskSwap,perceptual-framesamp-context,k7,10,50,0.2,complete
VideoUnmaskSwap,perceptual-framesamp-expert,no-history,10,50,0.2,complete
VideoUnmaskSwap,perceptual-framesamp-expert,k0,12,50,0.24,complete
VideoUnmaskSwap,perceptual-framesamp-expert,k1,17,50,0.34,complete
VideoUnmaskSwap,perceptual-framesamp-expert,k3,16,50,0.32,complete
VideoUnmaskSwap,perceptual-framesamp-expert,k7,15,50,0.3,complete
VideoUnmaskSwap,perceptual-tokendrop-context,no-history,11,50,0.22,complete
VideoUnmaskSwap,perceptual-tokendrop-context,k0,10,50,0.2,complete
VideoUnmaskSwap,perceptual-tokendrop-context,k1,15,50,0.3,complete
VideoUnmaskSwap,perceptual-tokendrop-context,k3,12,50,0.24,complete
VideoUnmaskSwap,perceptual-tokendrop-context,k7,14,50,0.28,complete
VideoUnmaskSwap,perceptual-tokendrop-expert,no-history,9,50,0.18,complete
VideoUnmaskSwap,perceptual-tokendrop-expert,k0,9,50,0.18,complete
VideoUnmaskSwap,perceptual-tokendrop-expert,k1,13,50,0.26,complete
VideoUnmaskSwap,perceptual-tokendrop-expert,k3,12,50,0.24,complete
VideoUnmaskSwap,perceptual-tokendrop-expert,k7,10,50,0.2,complete
VideoUnmaskSwap,recurrent-ttt-context,no-history,9,50,0.18,complete
VideoUnmaskSwap,recurrent-ttt-context,k0,10,50,0.2,complete
VideoUnmaskSwap,recurrent-ttt-context,k1,10,50,0.2,complete
VideoUnmaskSwap,recurrent-ttt-context,k3,10,50,0.2,complete
VideoUnmaskSwap,recurrent-ttt-context,k7,9,50,0.18,complete
VideoRepick,pi05_baseline,no-history,0,50,0.0,complete
