family,variant,condition,successes,n,rate,ci_low,ci_high
MoveCube,perceptual-framesamp-expert,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,perceptual-framesamp-expert,k3,14,50,0.28,0.17474014357680362,0.4166538714598967
MoveCube,perceptual-framesamp-expert,k7,18,50,0.36,0.24138562967182875,0.49859237989698046
MoveCube,perceptual-tokendrop-context,no-history,13,50,0.26,0.15871379651367384,0.3955342198899992
MoveCube,perceptual-tokendrop-context,k0,39,50,0.78,0.6475818431054045,0.8724621377569771
MoveCube,perceptual-tokendrop-context,k1,21,50,0.42,0.2937479723456693,0.5576680331222217
MoveCube,perceptual-tokendrop-context,k3,19,50,0.38,0.2586259584257722,0.5184980497760643
MoveCube,perceptual-tokendrop-context,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,perceptual-tokendrop-expert,no-history,20,50,0.4,0.2760818978624575,0.5381881089724063
MoveCube,perceptual-tokendrop-expert,k0,45,50,0.9,0.7863950966521162,0.956524876008429
MoveCube,perceptual-tokendrop-expert,k1,20,50,0.4,0.2760818978624575,0.5381881089724063
MoveCube,perceptual-tokendrop-expert,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
MoveCube,perceptual-tokendrop-expert,k7,7,50,0.14,0.06950745262022862,0.2618645719852809
MoveCube,recurrent-ttt-expert,no-history,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,recurrent-ttt-expert,k0,23,50,0.46,0.3296943460178263,0.5960136567161192
MoveCube,recurrent-ttt-expert,k1,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,recurrent-ttt-expert,k3,18,50,0.36,0.24138562967182875,0.49859237989698046
MoveCube,recurrent-ttt-expert,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,recurrent-ttt-context,no-history,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,recurrent-ttt-context,k0,14,50,0.28,0.17474014357680362,0.4166538714598967
MoveCube,recurrent-ttt-context,k1,15,50,0.3,0.1910338908960936,0.4375061227736339
MoveCube,recurrent-ttt-context,k3,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,recurrent-ttt-context,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
PatternLock,pi05_baseline,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
PatternLock,perceptual-framesamp-modul,no-history,3,50,0.06,0.020614596364630478,0.16217343370877002
PatternLock,perceptual-framesamp-modul,k0,27,50,0.54,0.40398634328388083,0.6703056539821737
PatternLock,perceptual-framesamp-modul,k1,21,50,0.42,0.2937479723456693,0.5576680331222217
PatternLock,perceptual-framesamp-modul,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
PatternLock,perceptual-framesamp-modul,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-tokendrop-modul,no-history,0,50,0.0,0.0,0.07135003417431873
PatternLock,perceptual-tokendrop-modul,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
PatternLock,perceptual-tokendrop-modul,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
PatternLock,perceptual-tokendrop-modul,k3,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-tokendrop-modul,k7,6,50,0.12,0.05617523710624647,0.2380507888662358
PatternLock,perceptual-framesamp-context,no-history,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-framesamp-context,k0,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-context,k1,5,50,0.1,0.04347512399157111,0.2136049033478839
PatternLock,perceptual-framesamp-context,k3,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-context,k7,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-expert,no-history,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-expert,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-framesamp-expert,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-framesamp-expert,k3,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-framesamp-expert,k7,5,50,0.1,0.04347512399157111,0.2136049033478839
PatternLock,perceptual-tokendrop-context,no-history,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k3,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k7,8,50,0.16,0.08337321362087696,0.2851448096176598
